Type,RStudio,Stats,Location,Cohort,lon,lat
Mentor,4,4,"Merida, Yucatan, Mexico",First,-89.5925857,20.9673702
Learner,1,3,"Washington, MI, USA",First,-83.05761559999999,42.7509332
Learner,4,3,Ostermundigen/Switzerland,First,7.487306900000001,46.9577083
Learner,5,5,Bogota Colombia,First,-74.072092,4.710988599999999
Learner,2,3,"Sydney, NSW, Australia",First,151.2092955,-33.8688197
Learner,3,3,"Regina, SK, Canada",First,-104.6188943,50.4452112
Learner,4,3,"Stuttgart, Germany",First,9.1829321,48.7758459
Learner,1,1,Colombia,First,-74.297333,4.570868
Mentor,5,5,"Austin, TX, USA",First,-97.7430608,30.267153
Mentor,4,3,"New York, NY",First,-74.0059728,40.7127753
Mentor,5,5,"Santiago,Región Metropolitana/Chile",First,-70.6504896,-33.4375545
Learner,5,3,"Sackville, New Brunswick, Canada",First,-64.3682804,45.897903
Learner,1,3,Mexico City,First,-99.133208,19.4326077
Learner,2,2,Toronto Ontario,First,NA,NA
Learner,3,4,"San José, Costa Rica",First,-84.0907246,9.9280694
Learner,2,1,"Chicago, IL",First,-87.6297982,41.8781136
Learner,2,2,"Chicago, IL, USA",First,-87.6297982,41.8781136
Learner,3,2,Chile,First,-71.542969,-35.675147
Learner,3,3,"Quito, Pichincha, Ecuador",First,-78.4678382,-0.1806532
Mentor,5,5,Venezuela,First,-66.58973,6.42375
Learner,3,4,Bogotá/Colombia,First,-74.072092,4.710988599999999
Learner,1,2,México city,First,-99.133208,19.4326077
Learner,2,2,Mexico,First,-102.552784,23.634501
Learner,3,3,"Caracas, DF, Venezuela",First,-66.90360629999999,10.4805937
Learner,3,2,Bangalore,First,77.5945627,12.9715987
Learner,4,5,"bogota, colombia",First,-74.072092,4.710988599999999
Learner,1,1,"Cape Town, Western Cape, South Africa",First,18.4240553,-33.9248685
Learner,4,5,"Medellin, colombia",First,-75.5812119,6.244203
Learner,4,3,Cape Town,First,18.4240553,-33.9248685
Learner,2,2,"Ilinois,USA",First,-89.3985283,40.6331249
Learner,1,4,"Toronto, ON, Canada",First,-79.3831843,43.653226
Mentor,3,4,"New York, NY, USA",First,-74.0059728,40.7127753
Learner,1,2,"Toronto, Ontario, Canada",First,-79.3831843,43.653226
Learner,3,3,Mexico City,First,-99.133208,19.4326077
Learner,4,3,Kathmandu,First,85.3239605,27.7172453
Learner,1,3,"Riverside, CA",First,-117.3961564,33.9533487
Learner,2,2,France (Bordeaux),First,NA,NA
Learner,3,4,"Puerto Vara, Chile",First,-72.9833,-41.3167
Mentor,5,5,"London, United Kingdom",First,-0.1277583,51.5073509
Mentor,4,5,"Montevideo, Uruguay",First,-56.16453139999999,-34.9011127
Learner,1,4,"Denver, Colorado",First,-104.990251,39.7392358
Learner,3,3,"Anchorage, AK",First,NA,NA
Learner,2,1,"Perú, Lima",First,-77.042754,-12.0463731
Learner,3,3,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Mentor,5,5,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Mentor,4,4,"Washington, DC, USA",First,-77.0368707,38.9071923
Learner,3,2,"San Diego, CA",First,-117.1610838,32.715738
Learner,3,2,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Mentor,5,5,"Vancouver, BC, Canada",First,-123.1207375,49.2827291
Learner,2,2,"Berkeley, CA",First,-122.272747,37.8715926
Learner,3,3,"Avignon,Vaucluse,France",First,4.805528,43.94931700000001
Mentor,5,5,"Manchester, United Kingdom",First,NA,NA
Mentor,5,5,"Lausanne, Switzerland",First,6.6322734,46.5196535
Learner,1,2,"Louisville, KY USA",First,NA,NA
Learner,2,2,Santiago. Chile,First,-70.6692655,-33.4488897
Learner,2,2,"Iowa City, Iowa, USA",First,-91.5301683,41.6611277
Learner,2,2,Australia,First,133.775136,-25.274398
Learner,4,5,"Ciudad de Mexico, Mexico",First,-99.133208,19.4326077
Learner,2,2,"San Francisco Bay Area , CA",First,-122.2913078,37.8271784
Learner,5,3,Quito - Ecuador,First,-78.4678382,-0.1806532
Learner,1,4,"Caracas, Venezuela",First,-66.90360629999999,10.4805937
Learner,4,3,Lima/Lima/Peru,First,NA,NA
Mentor,5,4,"Orange, CA, USA",First,-117.8531007,33.7879139
Mentor,5,5,"Medford, MA, USA",First,NA,NA
Learner,2,3,"Montreal, Quebec,  Canada",First,-73.567256,45.5016889
Learner,3,3,"Quezon City, NCR, Philippines",First,121.0437003,14.6760413
Learner,1,5,"New York, US",First,-74.0059728,40.7127753
Mentor,4,4,"Waukesha, WI, USA",First,-88.2314813,43.0116784
Learner,1,3,"Hyderabad, India",First,78.486671,17.385044
Mentor,4,4,"Portland, OR",First,-122.6764815,45.5230622
Learner,1,1,"Comibatore, Tamilnadu",First,NA,NA
Mentor,4,5,"Ankara, Turkey",First,32.8597419,39.9333635
Learner,1,3,Indonesia,First,113.921327,-0.789275
Learner,1,2,North Charleston,First,-79.9748103,32.8546197
Learner,3,2,"Bangalore, India",First,77.5945627,12.9715987
Learner,2,3,"London, UK",First,-0.1277583,51.5073509
Learner,3,3,"Ciudad de México, cuajimalpa, Mexico",First,-99.28805969999999,19.3631419
Learner,1,1,Hyderabad India,First,78.486671,17.385044
Learner,4,5,Spain,First,-3.74922,40.46366700000001
Learner,1,3,"Edinburgh, United Kingdom",First,-3.188267,55.953252
Learner,2,3,India,First,78.96288,20.593684
Learner,1,5,"Lima, Lima, Perú",First,-77.042754,-12.0463731
Learner,2,3,Denmark,First,9.501785,56.26392
Learner,1,2,"Bogotá, Colombia",First,-74.072092,4.710988599999999
Learner,3,3,"Brisbane, Australia",First,153.0251235,-27.4697707
Learner,3,3,"St. Louis Park, MN",First,-93.3702186,44.9597376
Learner,1,1,"Aix-en-Provence,BDR,France",First,5.447426999999999,43.529742
Learner,1,2,"Chicago, IL, USA",First,-87.6297982,41.8781136
Mentor,4,4,"Memphis, TN, USA",First,-90.0489801,35.1495343
Learner,1,3,"HENRICO, va",First,-77.3324425,37.5059332
Learner,2,3,New Delhi,First,77.2090212,28.6139391
Learner,2,2,Singapore,First,103.819836,1.352083
Learner,1,2,"Chico, CA, USA",First,-121.8374777,39.7284944
Learner,2,3,"Sydney, NSW, Australia",First,NA,NA
Learner,3,3,"Buffalo, NY",First,-78.8783689,42.88644679999999
Learner,3,3,"Buffalo, NY",First,NA,NA
Learner,3,3,"Palo Alto, CA, USA",First,-122.1430195,37.4418834
Learner,3,3,"Las Vegas, NV",First,-115.1398296,36.1699412
Learner,3,3,"Mumbai,Maharashtra,India",First,72.8776559,19.0759837
Learner,1,1,"Oceanside, CA, USA",First,NA,NA
Mentor,3,3,"San Jose, CA",First,-121.8863286,37.3382082
Learner,1,4,Buenos Aires Argentina,First,-58.3815591,-34.6036844
Learner,3,2,"Austin, TX",First,-97.7430608,30.267153
Learner,1,2,"Mars, Pennsylvania, United States",First,-80.0117254,40.6958996
Mentor,5,5,"Portland, Oregon, United States",First,-122.6764815,45.5230622
Learner,1,2,"Cape Girardeau, Missouri, USA",First,-89.51814759999999,37.3058839
Mentor,4,5,"New York, NY, USA",First,-74.0059728,40.7127753
Learner,3,2,"India, MP, Indore",First,75.8577258,22.7195687
Learner,4,3,"Portland, Oregon, United States",First,-122.6764815,45.5230622
Learner,2,3,"New Delhi, India",First,77.2090212,28.6139391
Learner,2,3,Mumbai india,First,72.8776559,19.0759837
Mentor,3,4,"Maryland, USA",First,-76.64127119999999,39.0457549
Learner,2,2,China,First,104.195397,35.86166
Learner,2,4,"Middlesbrough, UK",First,-1.234956,54.574227
Learner,3,3,"Ames, Iowa, USA",First,-93.63191309999999,42.0307812
Mentor,4,3,"Greenville, SC, USA",First,NA,NA
Learner,3,3,"Ames, IA, USA",First,-93.63191309999999,42.0307812
Learner,1,4,"Atlanta, Ga",First,-84.3879824,33.7489954
Learner,2,1,ames iowa,First,-93.63191309999999,42.0307812
Learner,3,3,"London, UK",First,-0.1277583,51.5073509
Mentor,5,5,"Dartmouth, Nova Scotia, Canada",First,-63.5677427,44.6652059
Learner,4,5,Pittsburgh PA,First,-79.9958864,40.44062479999999
Mentor,5,4,"Louisville, KY",First,-85.7584557,38.2526647
Learner,1,2,"Petaling Jaya, Selangor, Malaysia",First,101.5944885,3.1278871
Learner,3,3,Jakarta Indonesia,First,106.8650395,-6.17511
Learner,3,2,"Peterborough, Cambridgeshire, United Kingdom",First,-0.2405299,52.56949849999999
Mentor,4,4,"New York, NY",First,NA,NA
Learner,1,3,"Melbourne, Victoria, Australia",First,144.9630576,-37.8136276
Learner,2,3,"Bangalore, India",First,77.5945627,12.9715987
Learner,3,3,"Kyiv, Ukraine",First,30.5234,50.4501
Learner,3,3,"Austin, TX, US",First,NA,NA
Learner,1,2,Singapore,First,103.819836,1.352083
Learner,4,4,"Cuiabá, Mato Grosso, Brazil",First,-56.0978917,-15.6014109
Learner,2,2,"Chapel Hill, NC, USA",First,-79.0558445,35.9131996
Learner,2,2,"thomaston, CT USA",First,NA,NA
Learner,1,1,"Louisville, KY",First,NA,NA
Learner,2,2,"Sao Paulo, Sao Paulo, Brazil",First,-46.63330939999999,-23.5505199
Learner,3,4,"Guatemala City, Guatemala",First,-90.5068824,14.6349149
Mentor,5,3,"Montclair, NJ, USA",First,-74.2090053,40.8259007
Learner,2,2,"Minneapolis, MN",First,-93.2650108,44.977753
Mentor,5,5,"Eugene, OR, USA",First,-123.0867536,44.0520691
Learner,3,3,Ireland/Italy,First,12.4643219,41.8877262
Mentor,5,3,Hyderabad,First,NA,NA
Learner,2,3,"London, UK",First,-0.1277583,51.5073509
Learner,3,2,North Yorkshire UK,First,-1.5412015,53.9915028
Mentor,5,5,"Mexico City, Mexico",First,-99.133208,19.4326077
Learner,4,3,"Louisville, KY, USA",First,-85.7584557,38.2526647
Learner,3,3,"Lincoln, NE",First,-96.6851982,40.8257625
Learner,1,2,London,First,NA,NA
Mentor,3,4,"Berlin, Germany",First,13.404954,52.52000659999999
